Date,Article title,link,publisher,Article sentiment
None,Baxter International's Clinolipid Injection Approved for Expanded Use in US,https://finance.yahoo.com/news/baxter-international-apos-clinolipid-injection-132808011.html,MT Newswires,negative
2024-05-13T12:45:00.000Z,,,,Nan too long
2024-05-11T12:34:13.000Z,,,,Nan too long
2024-05-10T10:17:07.000Z,"TD Cowen Downgrades Baxter International to Hold From Buy, Price Target is $40",https://finance.yahoo.com/news/td-cowen-downgrades-baxter-international-101707112.html,MT Newswires,negative
2024-05-08T11:14:06.000Z,,,,Nan too long
2024-05-07T20:15:00.000Z,,,,Nan too long
2024-05-07T13:40:10.000Z,,,,Nan too long
2024-05-07T12:30:00.000Z,,,,Nan too long
